word,partOfSpeech,gloss
hywan,n,male gender that is late
han,n, flour
han,adj,pains
hon,v,leave
honna,v,leave you
honnu,v,leave you (pl m/f)
honnut,v,leave her
honnush,v,leave her
honsa,v,leave you
honsus,v,leave him
honnin,v,leave us
honkan,v,leave us
hat,n,head pad
hattat,v,turn
hattatta,v,you turn
hattat ta,v,turn you to be
hattat tu,v,turn you (pl m/f) to be
hattat tun,v,turn me to be
hattat tut,v,turn he to be
hattat tush,v,turn you (f) to be
hattat tinin,v,turn us to be...
hattat tikan,v,turn us to be
hwarat,v,grint
ho',n,egg
hof,v,borrow/lend out
hot,n,granary
hwassai,n,rhenocirous
haggai,n,leather
hamuni,v,see kinihai-care not
humam,n,holes
humbil,n,rainy season
huɓeng,n,big hoe
huhop,n,robb
hu shak hu shak,adj,so and so person
hu',adj,swell
haisa,n,your head
haisu,n,your (pl) head(s)
hum,v,repeat/hole
haf,n,kaoline
hwini,n,search for
haai,n,millet
hihe,n,intestine
huhor,n,wild beans that the back stink/drag
hya,v,fill
hyaha,v,fill everywhere
hyahu,v,you (pl m/f) fill…
hyahun,v,you (pl m/f) fill…
hyashi,v,you (f) fill…
hyanin,v,fill us
hyakan,v,fill us
hyar,v,put on top of/ multiplication
hyara,v,you (m) put on top of…
hyarshi,v,you (f) put on top of…
hyarnin,v,he put put us on top of…
hyarhun,v,you (m/f/in pl) put on top of…
hyarkan,v,he put us on top of …
hyarru,v,he put you on top…
hyarrut,v,he put her on top of…
hyarsa,v,he put… on top of you
hyarsus,v,put them on top of…
hyarush,v,he put…on top of you (f)
hyarshush,v,put…on you
hyem,n,a type of grass (long in nature)
hyok,n,cool/local soup
hyol,n,sperm
hanna,v,pain you
hannu,v,pain you
hannut,v,pain her
hannin,v,pain us
hankan,v,pain us
hannus,v,pain him
hansus,v,pain him
hansa,v,pain you
hansut,v,pain her
hanga',v,stingy
hul,n,fruit tree
huul,v,moving slowing
hargus,n,wild mellon
harkyel,n,idol god
hal,v,hear/test/feel
halla,v,heard you
hallu,v,heard you
hallun,v,heard me
hallut,v, heard her
hallush,v,heard you
halnin,v,heard us
halsun,v,heard me
halsut,v,heard her
halkan,v,heard us
halsa,v,heard you
hallai,v,you (m), listen
halshii,v,you (f), listen
halhuni,v,you (pl m/f) listen
halhunin,v,listen to us
halhukani,v,listen for us
halhunini,v,listen for us
heer,v,shift
hiing,adj,everywhere/all over
hwong,n,potassium
hong,v,scratch/grade/ weeding grass/potassium
hwish,v,he stone you (f)
hwis,v,stone you (m)
hwissa,v,stone you
hwissu,v,stone you (pl m/f)
hwissun,v,stone me
hwissus,v,stone him
hwesh,v,you (f) alone/ daughter in-law
hwehuu,v,you(pl) alone
hyuwai,v,stoned
hyuwaiyan,v,stoning
hyuwaiya,v,stone you
hyuwaiyun,v, stoned me
hyuwaiyus,v,stoned him
hyuwayansus,v,stoning him/them
hyuwainin,v,  stone us
hyuwaikan,v,stone us
hyuwaiyut,n, stone her
ii,adv,is
i palang,v,I thank you
i wa,v,I am going/I went
i hwer,adv,of old
i mana,adv,I am around
i win,adv,I am gone
i hwesh,adv,of sisterlaw
I hwyan,adv,of somebody who is late
i mala,adv,of first
i dala,adv,of last
i mwashi,adv,for now
i yes,adv,I am coming
i win,adv,I am gone
i nggwen,v, I refused
i shak,adv,is for so so person (m)
i ushak,adv,is for so so person (f)
i hu shak,adv,is for so & so persons (m/f)
hwi,v,stone
hwis,v,stone him
hwin,v,stone me
hwinin,v,stone us
hwit,v,stone her
hwish,v,stone you (f)
hwisu,v,stone you (pl)
hwisut,v,stone her
hwisus,v,stone him
hwishush,v,stone you
hwikan,v,stone us
hwyaikan,v,stone us
hwyaiya,v,he stone you
hwyaiyus,v,he stone him
hwyaiyun,v,he stone me
hwyaiyut,v,he stoning her
hwyainin,v,he stone us
hwyayansa,v,stoning you (m)
hwyayansut,v,stoning you (f)
hwyayansus,v,stoning him
here',v,jamming of either finger by the door
hyasai,n,lies egg
hwet,v,loose
hwetta,v,you (m) loose
hwettut,v,loose her
hwettus,v,he was loose
hwetsu,v,looses you
hwetsus,v,looses them
hwetshush,v,looses you (f)
hwetnin,v,looses us
hwetush,v,looses you (f)
hwetkan,v,looses us
hyuwa,v,you alone/stone you (m)
hyuur,adj,water flowing eg. tears on the chicks
hyuu,adv,amongst you/stone you
jing,n,brown soil
jem,n,drie sprout grain
jwet,v,tied very well
jer,n,type of tree
jorrom,v,space inside the ceiling for storage purposes
jollok,v,shouting on a thing
jwaram,v,scratch/squash
jwe',adj,very red colour
jongongong,adj,high elevation
jonggor,n,house about collapsing
jalme,n,junior male twins
jos,adv, just like that
jinggir,n,giant/man of honor
jinggirai,n,giants
joho',v,washing by pounding on the rock
jak,n,termite's hill
jakkyel,adv,put down
jakala,n,shoulders
jakkak,v,joy
jakka ka,v,you, rejoice
jakkak hun,v,you (pl) rejoice
jakkak shi,v,you rejoice
jarai,v,politics
jaar,v,persuasion/campaign
jaarayus,v,persuate him
jaarayut,v,persuate her
jaarkan,v,persuate us
jaarnin,v,persuate us
jap,n,shortly
jamok,n,shrub crop parent body of melon
jatta',n,place always having running water
jaɓwak,adj,sprang up
je,adv,that is all/only
jik,v,jump down
jikka,v,you (m) jump down
jikshi,v,you (f) jump down
jikhun,v,you (pl m/f) jump down
jyakhun,v,keep jumping down (pl m/f)
jir,v,lay opposite to each other
jaha,n,buttocks
jurrik,v,boil
jukkut,v,galloping
jweshɗeng,adj,dried thing/ retarded growth
janggai,n,stock
jang,n,name of a person
jim,n,not yet turn to alcohol
jujjuu,n,red
ka'su,v,catch you (pl)
ka'sus,v,catch him
ka'sut,v,catch her
ka'shush,v,catch you (f)
ka'sinin,v,catch us
ka'sikan,v,catch us
ka'ut,v,catch her
ka'nin,v,catch us
ka'kan,v,catch us
ka'ush,v,catch you (f)
kun,v,let us (two person) ...
kuku,n,putting two hand together
kan,v,let us (plural)...
kanta,v,let's continue
kin,v,cause
kinna,v,cause you
kinnu,v,cause you (pl)
kinnut,v,cause her
kinnun,v,cause me
kinnush,v,cause her
kinkan,v,cause us
kinnin,v,cause us
kimpe,v,upside down
kukum,n,lion
kannan,v,stink
kaani,n,parable
kang ya,v,separate it
kangut ya,v,separate her out
kangus ya,v,separate him out
kangush ya,v,separate you (f) out
kangnin ya,v,separate us out
kangkan ya,v,separate us out
kabiring,n,local hat
kaa ti syahai,n,first grand daughter
kaa,n,grand daughter/ daughter in-law
kaasa,n,your mother in-law/ your grand daughter/ daughter in-law
kaasun,n,my mother in-law/ my grand daughter/ daughter in-law
kaasus,n,his mother in-law/ grand daughter/ daughter in-law
kaasut,n,her mother in-law/ her grand daughter/ daughter in-law
kaashush,n,your mother in-law/your grand daughter/ daughter in-law
kaasikan,n,our mother in- law/our grand daughter/ daughter in-law
kaasanin,n,our mother in- law/ our grand daughter/ daughter in -law
kadun,adj,bad luck/ reproach
ka',v,catch/shine
ka'a,v,catch you (m)
ka'u,v,catch you (pl)
ka'un,v,catch me
ka'us,v,catch him (m)
ka'sa,v,catch you
kaarsu,v, divides you
kaarsus,v,divides him/them
kaartus,v,divides them
kaartu,v,divides you (pl m/f)
kaartut,v,divides her
kaarti,v,divides it
kat,adv,left/inherit man/ woman
katta,adv,left for you
kattu,adv,left for you (pl m/f)
kattut,adv,left for her
kattush,adv,left for you
katnin,adv,left with us
katkan,adv,left for us
